method,n,priority,emethod0,emethod1
Web,58841,3.381775,public,1
Lagan Frontline CRM,22941,3.37797,works,2
HH Works Team,989,2.642063,works,2
Police,236,2.271186,works,3
Customer Service - From Public,182,2.972527,public,1
In Person,167,3.101796,public,1
Customer Service Centre,122,2.278689,public,1
Phone,117,2.863248,public,1
,98,3.132653,public,1
Out Of Hours,57,2.719298,public,1
HH Management Team,37,2.702703,works,2
E-Mail,34,3.147059,public,1
No Code Allocated,22,2.090909,public,1
HH Design Team,10,2.3,works,2
Letter,1,5,public,1
